domain,cse_target,true_label,predicted_label,ensemble_score,individual_scores
moli-bai.pages.dev,sbi.co.in,1,1,0.6714288993222373,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999931), 'rule_engine': 0.5}"
ogf.pages.dev,sbi.co.in,1,1,0.6806128044469015,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.6197178), 'neural_network': np.float32(0.99999005), 'rule_engine': 0.5}"
erftgj.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
jhctth.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
bee4.pages.dev,sbi.co.in,1,1,0.6726515610558645,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.59981227), 'neural_network': np.float32(0.9999949), 'rule_engine': 0.5}"
pqvoy.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
lkvgt.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
wqoy.pages.dev,sbi.co.in,1,1,0.6762933005435126,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60891855), 'neural_network': np.float32(0.999991), 'rule_engine': 0.5}"
sbikyc-5g4.pages.dev,sbi.co.in,1,1,0.6708830569131033,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.9999939), 'rule_engine': 0.5}"
jkfnlk.pages.dev,sbi.co.in,1,1,0.6714287801129477,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999925), 'rule_engine': 0.5}"
sav1h4da.vercel.app,sbi.co.in,1,1,0.666743708048548,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999951), 'rule_engine': 0.5}"
bczxx.vercel.app,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
czsei.vercel.app,sbi.co.in,1,1,0.6714287503106253,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999923), 'rule_engine': 0.5}"
sahc1d1yta.vercel.app/uof,sbi.co.in,1,1,0.6787651455345608,"{'random_forest': np.float64(0.6314940476190478), 'xgboost': np.float32(0.614733), 'neural_network': np.float32(0.9999922), 'rule_engine': 0.5}"
lkjbb.vercel.app,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
sagv1ctd.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857144), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
rdcvb.vercel.app,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
kloii.vercel.app,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
satydh7va.vercel.app/gor,sbi.co.in,1,1,0.6722702209097998,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59901696), 'neural_network': np.float32(0.9999913), 'rule_engine': 0.5}"
satysv5aj.vercel.app/pwr,sbi.co.in,1,1,0.6722702209097998,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59901696), 'neural_network': np.float32(0.9999913), 'rule_engine': 0.5}"
rsbi.online,sbi.co.in,0,1,0.6797952021700995,"{'random_forest': np.float64(0.6396607142857144), 'xgboost': np.float32(0.6122089), 'neural_network': np.float32(0.9999823), 'rule_engine': 0.5}"
sbibilisim.online,sbi.co.in,0,1,0.6692955084187644,"{'random_forest': np.float64(0.6384107142857145), 'xgboost': np.float32(0.58673745), 'neural_network': np.float32(0.9999892), 'rule_engine': 0.5}"
sbii.co.in,sbi.co.in,0,1,0.6828136654808408,"{'random_forest': np.float64(0.6397202380952383), 'xgboost': np.float32(0.6197178), 'neural_network': np.float32(0.9999824), 'rule_engine': 0.5}"
sbi-oiddasdeq.cfd,sbi.co.in,0,1,0.6692956574303763,"{'random_forest': np.float64(0.6384107142857144), 'xgboost': np.float32(0.58673745), 'neural_network': np.float32(0.9999899), 'rule_engine': 0.5}"
sbi-oiderweq.cfd,sbi.co.in,0,1,0.669295627628054,"{'random_forest': np.float64(0.6384107142857144), 'xgboost': np.float32(0.58673745), 'neural_network': np.float32(0.9999898), 'rule_engine': 0.5}"
sbi-help.top,sbi.co.in,0,1,0.679795932326998,"{'random_forest': np.float64(0.6396607142857144), 'xgboost': np.float32(0.6122089), 'neural_network': np.float32(0.99998593), 'rule_engine': 0.5}"
sbi-help.xyz,sbi.co.in,0,1,0.6797959770304816,"{'random_forest': np.float64(0.6396607142857144), 'xgboost': np.float32(0.6122089), 'neural_network': np.float32(0.9999861), 'rule_engine': 0.5}"
pqvoy.pages.dev/,sbi.co.in,1,1,0.6714288099152701,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999926), 'rule_engine': 0.5}"
sun1-3pr.pages.dev/eAqD,sbi.co.in,1,1,0.6708829377038138,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.99999326), 'rule_engine': 0.5}"
gtcgl.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
tgw8t54r.pages.dev/wq1,sbi.co.in,1,1,0.6708833549363272,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.99999535), 'rule_engine': 0.5}"
ciyk.pages.dev/,sbi.co.in,1,1,0.6764006336075918,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.999992), 'rule_engine': 0.5}"
djal.pages.dev/,sbi.co.in,1,1,0.6764006336075918,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.999992), 'rule_engine': 0.5}"
rewardsbi.pages.dev/public/,sbi.co.in,1,1,0.6682911777439572,"{'random_forest': np.float64(0.6264940476190478), 'xgboost': np.float32(0.59167486), 'neural_network': np.float32(0.9999886), 'rule_engine': 0.5}"
dcvtd.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
ktfju-21n.pages.dev,sbi.co.in,1,1,0.6667437676531928,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999954), 'rule_engine': 0.5}"
quxe.pages.dev,sbi.co.in,1,1,0.6762933005435126,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60891855), 'neural_network': np.float32(0.999991), 'rule_engine': 0.5}"
zirvjj.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
zoebo.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999918), 'rule_engine': 0.5}"
vfhtlk.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
qotgj.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
yehiv.pages.dev/,sbi.co.in,1,1,0.6714287950141089,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999255), 'rule_engine': 0.5}"
fri9-4v8.pages.dev,sbi.co.in,1,1,0.6677440060717719,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.99999654), 'rule_engine': 0.5}"
fri7.pages.dev/,sbi.co.in,1,1,0.6727596540791647,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.6000822), 'neural_network': np.float32(0.99999535), 'rule_engine': 0.5}"
fri2.pages.dev,sbi.co.in,1,1,0.6726515610558645,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.59981227), 'neural_network': np.float32(0.9999949), 'rule_engine': 0.5}"
jazgy.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
qpmz.pages.dev,sbi.co.in,1,1,0.6762933005435126,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60891855), 'neural_network': np.float32(0.999991), 'rule_engine': 0.5}"
rew-czs.pages.dev,sbi.co.in,1,1,0.6714288844210761,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999297), 'rule_engine': 0.5}"
qausb.pages.dev,sbi.co.in,1,1,0.6764005740029471,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999917), 'rule_engine': 0.5}"
aqgcyj.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
iskvno.pages.dev/,sbi.co.in,1,1,0.6714288695199149,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999929), 'rule_engine': 0.5}"
aurji.pages.dev/bbx,sbi.co.in,1,1,0.6704289142233985,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999315), 'rule_engine': 0.5}"
payebm.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
sx2.pages.dev/,sbi.co.in,1,1,0.6726516057593481,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.59981227), 'neural_network': np.float32(0.99999505), 'rule_engine': 0.5}"
yuiii.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999918), 'rule_engine': 0.5}"
tg765rftf.pages.dev/wq1,sbi.co.in,1,1,0.6708832059247153,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.99999464), 'rule_engine': 0.5}"
ifsjab.pages.dev/bbx,sbi.co.in,1,1,0.6745385203702109,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.6046871), 'neural_network': np.float32(0.9999925), 'rule_engine': 0.5}"
jtdubb.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
zieviv.pages.dev/,sbi.co.in,1,1,0.6714288844210761,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999297), 'rule_engine': 0.5}"
prip.pages.dev,sbi.co.in,1,1,0.6762932856423514,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60891855), 'neural_network': np.float32(0.99999094), 'rule_engine': 0.5}"
gttt.pages.dev/,sbi.co.in,1,1,0.6764006336075918,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.999992), 'rule_engine': 0.5}"
pevox.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
sbikyc-4g.pages.dev/,sbi.co.in,1,1,0.670882878099169,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.999993), 'rule_engine': 0.5}"
sbi-kyc.pages.dev/,sbi.co.in,1,1,0.671428571496691,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999914), 'rule_engine': 0.5}"
a-2-6ua.pages.dev,sbi.co.in,1,1,0.6677439762694495,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999964), 'rule_engine': 0.5}"
sbikyc-dy1.pages.dev/,sbi.co.in,1,1,0.6708827588898795,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
biyuthj.pages.dev/,sbi.co.in,1,1,0.6714288844210761,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.999993), 'rule_engine': 0.5}"
pqgib.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999918), 'rule_engine': 0.5}"
aklp.pages.dev,sbi.co.in,1,1,0.6762933005435126,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60891855), 'neural_network': np.float32(0.999991), 'rule_engine': 0.5}"
prcobl.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
zzraz.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
ump11.pages.dev,sbi.co.in,1,1,0.6727598924977438,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.6000822), 'neural_network': np.float32(0.9999966), 'rule_engine': 0.5}"
ump3.pages.dev/eAqD,sbi.co.in,1,1,0.666743633542742,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999947), 'rule_engine': 0.5}"
qhuvp.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
tripal-a.pages.dev,sbi.co.in,1,1,0.6714289142233985,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999315), 'rule_engine': 0.5}"
yaegcu.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
orvkb.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999183), 'rule_engine': 0.5}"
tyftrk.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
prcibn.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
apk5.pages.dev,sbi.co.in,1,1,0.6726515759570257,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.59981227), 'neural_network': np.float32(0.99999493), 'rule_engine': 0.5}"
kilpzcmk.pages.dev,sbi.co.in,1,1,0.6714288546187537,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999285), 'rule_engine': 0.5}"
kop-3b3.pages.dev,sbi.co.in,1,1,0.6677439464671271,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999963), 'rule_engine': 0.5}"
sdf-89v.pages.dev,sbi.co.in,1,1,0.6677439464671271,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.99999624), 'rule_engine': 0.5}"
gooa.pages.dev/,sbi.co.in,1,1,0.6764006336075918,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.999992), 'rule_engine': 0.5}"
ierbk.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999918), 'rule_engine': 0.5}"
usehcs.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
ifbib.pages.dev/bbx,sbi.co.in,1,1,0.6704288993222373,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999931), 'rule_engine': 0.5}"
irhvj.pages.dev,sbi.co.in,1,1,0.6764005889041083,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999918), 'rule_engine': 0.5}"
usjbo.pages.dev,sbi.co.in,1,1,0.6764005740029471,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999917), 'rule_engine': 0.5}"
idobog.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
yvys.pages.dev/,sbi.co.in,1,1,0.6764006187064306,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.99999195), 'rule_engine': 0.5}"
edho.pages.dev/,sbi.co.in,1,1,0.6764006336075918,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.999992), 'rule_engine': 0.5}"
iehjjj.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
udyhji.pages.dev/,sbi.co.in,1,1,0.6714288695199149,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999929), 'rule_engine': 0.5}"
itjibj.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857145), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
ysibih.pages.dev,sbi.co.in,1,1,0.6714287503106253,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999923), 'rule_engine': 0.5}"
vmk.pages.dev,sbi.co.in,1,1,0.6806128044469015,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.6197178), 'neural_network': np.float32(0.99999005), 'rule_engine': 0.5}"
usijop.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
yshhvk.pages.dev,sbi.co.in,1,1,0.6714287652117865,"{'random_forest': np.float64(0.6346607142857144), 'xgboost': np.float32(0.59441274), 'neural_network': np.float32(0.9999924), 'rule_engine': 0.5}"
rewarsdsbi.pages.dev/,sbi.co.in,1,1,0.6745380286318915,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.6046871), 'neural_network': np.float32(0.99999), 'rule_engine': 0.5}"
sah1v1bt.vercel.app,sbi.co.in,1,1,0.666743708048548,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999951), 'rule_engine': 0.5}"
mals.vercel.app,sbi.co.in,1,1,0.6764005740029471,"{'random_forest': np.float64(0.6309107142857144), 'xgboost': np.float32(0.60918635), 'neural_network': np.float32(0.9999917), 'rule_engine': 0.5}"
savchg8d.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
sacdyu3a.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
savc4hdty.vercel.app,sbi.co.in,1,1,0.6708830569131033,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.99999386), 'rule_engine': 0.5}"
sagcd8af.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
youn-delta.vercel.app,sbi.co.in,1,1,0.6745384309632437,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.6046871), 'neural_network': np.float32(0.999992), 'rule_engine': 0.5}"
sah5dyva.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
sagdy6tcv.vercel.app,sbi.co.in,1,1,0.6708830569131033,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.99999386), 'rule_engine': 0.5}"
sa3adtyv.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
sav1h4da.vercel.app/pwr,sbi.co.in,1,1,0.670882952604975,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.9999934), 'rule_engine': 0.5}"
sahcd1j3a.vercel.app/pwr,sbi.co.in,1,1,0.6722704444272177,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59901696), 'neural_network': np.float32(0.99999243), 'rule_engine': 0.5}"
saays5dvty.vercel.app/pwr,sbi.co.in,1,1,0.6787649071159817,"{'random_forest': np.float64(0.6314940476190478), 'xgboost': np.float32(0.614733), 'neural_network': np.float32(0.999991), 'rule_engine': 0.5}"
sacd1otyac.vercel.app/uof,sbi.co.in,1,1,0.6787649071159817,"{'random_forest': np.float64(0.6314940476190478), 'xgboost': np.float32(0.614733), 'neural_network': np.float32(0.999991), 'rule_engine': 0.5}"
sahd6jat.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
sahcd7ya.vercel.app,sbi.co.in,1,1,0.6667435739380972,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.58519876), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
sah1vd2nty.vercel.app,sbi.co.in,1,1,0.6708831612212317,"{'random_forest': np.float64(0.6306607142857145), 'xgboost': np.float32(0.59554774), 'neural_network': np.float32(0.9999944), 'rule_engine': 0.5}"
